Ref,Val,Package,PosX,PosY,Rot,Side
"25VPolymer1","470u","C_1206_3216Metric",252.775000,-133.575000,0.000000,bottom
"25VPolymer2","470u","C_1206_3216Metric",252.775000,-131.175000,0.000000,bottom
"25VX7R1210","10u","C_0603_1608Metric",252.775000,-135.625000,0.000000,bottom
"C9","100n","C_0603_1608Metric",252.775000,-138.825000,0.000000,bottom
"C10","1u","C_0603_1608Metric",252.775000,-137.225000,0.000000,bottom
"D1","BZT52Bxx","D_SOD-123F",261.800000,-132.750000,0.000000,bottom
"R28","100k","R_0603_1608Metric",262.550000,-124.850000,0.000000,bottom
"U12","BSC010N04LSI","BSC010N04LSI",259.695000,-137.700000,0.000000,bottom
"C1","4,7u","C_0603_1608Metric",238.200000,-121.200000,90.000000,top
"C4","1u","C_0603_1608Metric",235.800000,-125.250000,180.000000,top
"C5","1u","C_0603_1608Metric",226.800000,-118.650000,-90.000000,top
"C6","47n","C_0603_1608Metric",223.600000,-120.525000,-90.000000,top
"C7","1u","C_0603_1608Metric",225.200000,-118.650000,-90.000000,top
"C8","1u","C_0603_1608Metric",222.600000,-123.550000,0.000000,top
"C12","100n","C_0805_2012Metric",240.585000,-136.900000,90.000000,top
"C13","100n","C_0805_2012Metric",225.600000,-136.850000,90.000000,top
"C14","100n","C_0805_2012Metric",210.485000,-136.702799,90.000000,top
"C15","100n","C_0603_1608Metric",232.950000,-100.250000,90.000000,top
"C16","1u","C_0603_1608Metric",219.800000,-108.300000,180.000000,top
"C17","1n","C_0603_1608Metric",219.175000,-96.675000,90.000000,top
"C18","1n","C_0603_1608Metric",216.900000,-102.487500,180.000000,top
"C19","1n","C_0603_1608Metric",216.912500,-105.812500,180.000000,top
"C20","10n","C_0603_1608Metric",222.500000,-96.700000,90.000000,top
"C21","1n","C_0603_1608Metric",230.600000,-96.300000,180.000000,top
"C22","1n","C_0603_1608Metric",230.600000,-97.950000,180.000000,top
"C23","1n","C_0603_1608Metric",230.600000,-99.600000,180.000000,top
"C_VBAT1","100n","C_0603_1608Metric",233.700000,-102.600000,0.000000,top
"C_VDD24","100n","C_0603_1608Metric",219.800000,-110.200000,0.000000,top
"C_VDD36","100n","C_0603_1608Metric",230.250000,-113.700000,180.000000,top
"C_VDD48","100n","C_0603_1608Metric",233.700000,-104.500000,0.000000,top
"Cboot1","100n","C_0603_1608Metric",261.440000,-97.300000,90.000000,top
"Chf1","220n","C_0603_1608Metric",261.275000,-110.650000,180.000000,top
"Cin1","10u","C_1210_3225Metric",260.775000,-108.150000,180.000000,top
"Cout1","22u","C_1210_3225Metric",252.170000,-105.450000,0.000000,top
"Cout2","22u","C_1210_3225Metric",252.170000,-108.850000,0.000000,top
"Cout3","22u","C_1210_3225Metric",252.170000,-112.250000,0.000000,top
"Cout4","22u","C_1210_3225Metric",252.170000,-115.650000,0.000000,top
"Cvcc1","1u","C_0603_1608Metric",263.090000,-97.300000,90.000000,top
"D2","BAT54W","SOT-323_SC-70",248.675000,-97.975000,-90.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Horizontal",244.710000,-94.410000,90.000000,top
"J2","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",238.450000,-87.550000,0.000000,top
"J3","Akku Stecker","AMASS_XT60PW-M_1x02_P7.20mm_Horizontal",260.050000,-121.575000,-90.000000,top
"J4","Conn_01x01_Pin","SolderWirePad_1x01_SMD_5x10mm",216.850000,-149.500000,90.000000,top
"J5","Conn_01x01_Pin","SolderWirePad_1x01_SMD_5x10mm",232.050000,-149.500000,90.000000,top
"J6","Conn_01x01_Pin","SolderWirePad_1x01_SMD_5x10mm",247.100000,-149.500000,90.000000,top
"L1","6,8u","L_Wurth_WE-LHMI-7030",254.420000,-100.050000,0.000000,top
"R1","100k","C_0603_1608Metric",232.100000,-119.000000,-90.000000,top
"R2","3m","R_2512_6332Metric",247.785000,-136.950000,180.000000,top
"R3","3m","R_2512_6332Metric",232.650000,-136.900000,180.000000,top
"R4","10k","C_0603_1608Metric",235.800000,-123.650000,0.000000,top
"R5","1k","C_0603_1608Metric",235.800000,-122.050000,0.000000,top
"R6","10","R_0805_2012Metric",216.835000,-140.852799,-90.000000,top
"R7","10","R_0805_2012Metric",218.885000,-133.152799,-90.000000,top
"R8","10","R_0805_2012Metric",232.000000,-141.100000,-90.000000,top
"R9","10","R_0805_2012Metric",234.050000,-133.150000,-90.000000,top
"R10","10","R_0805_2012Metric",246.985000,-141.207874,-90.000000,top
"R11","10","R_0805_2012Metric",249.085000,-133.200000,-90.000000,top
"R12","3m","R_2512_6332Metric",217.535000,-137.002799,180.000000,top
"R13","10k","C_0603_1608Metric",233.700000,-119.000000,-90.000000,top
"R14","10k","R_0603_1608Metric",237.600000,-107.000000,-90.000000,top
"R15","100k","R_0603_1608Metric",235.200000,-109.450000,0.000000,top
"R16","6,8k","R_0603_1608Metric",220.850000,-96.675000,-90.000000,top
"R17","10k","R_0603_1608Metric",235.195000,-106.145000,180.000000,top
"R18","10","R_0805_2012Metric",217.250000,-109.250000,90.000000,top
"R19","100","R_0603_1608Metric",235.200000,-107.800000,0.000000,top
"R20","10k","R_0603_1608Metric",223.550000,-113.850000,180.000000,top
"R21","39k","R_0603_1608Metric",219.200000,-99.075000,0.000000,top
"R22","6,8k","R_0603_1608Metric",216.900000,-100.787500,0.000000,top
"R23","39k","R_0603_1608Metric",219.300000,-102.475000,90.000000,top
"R24","6,8k","R_0603_1608Metric",216.912500,-104.137500,0.000000,top
"R25","39k","R_0603_1608Metric",219.312500,-105.812500,90.000000,top
"R26","6,8k","R_0603_1608Metric",224.150000,-96.700000,-90.000000,top
"R27","39k","R_0603_1608Metric",222.500000,-99.100000,0.000000,top
"R29","10k","R_0603_1608Metric",216.935000,-144.402799,-90.000000,top
"R30","10k","R_0603_1608Metric",222.385000,-134.752799,-90.000000,top
"R31","10k","R_0603_1608Metric",232.100000,-144.450000,-90.000000,top
"R32","10k","R_0603_1608Metric",237.450000,-134.804882,-90.000000,top
"R33","10k","R_0603_1608Metric",247.082928,-144.478193,-90.000000,top
"R34","10k","R_0603_1608Metric",252.435000,-134.800000,-90.000000,top
"R35","100","R_0603_1608Metric",227.450000,-96.300000,180.000000,top
"R36","100","R_0603_1608Metric",227.450000,-97.950000,180.000000,top
"R37","100","R_0603_1608Metric",227.450000,-99.600000,180.000000,top
"R38","0","R_0603_1608Metric",211.050000,-108.450000,90.000000,top
"Rfbb1","43,2k","C_0603_1608Metric",266.340000,-98.900000,-90.000000,top
"Rfbt1","100k","C_0603_1608Metric",264.740000,-97.300000,-90.000000,top
"U1","LMR33630ADDA","Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias",262.495000,-102.750000,90.000000,top
"U2","STM32G431CB LQFP48","STM32G431CB LQFP48",226.800000,-107.600000,-90.000000,top
"U11","BSC010N04LSI","BSC010N04LSI",212.930000,-142.797917,0.000000,top
"U13","BSC010N04LSI","BSC010N04LSI",220.840000,-142.802799,180.000000,top
"U14","BSC010N04LSI","BSC010N04LSI",228.045000,-142.850000,0.000000,top
"U15","BSC010N04LSI","BSC010N04LSI",235.935000,-142.850000,180.000000,top
"U16","BSC010N04LSI","BSC010N04LSI",243.035000,-142.900000,0.000000,top
"U17","BSC010N04LSI","BSC010N04LSI",250.920000,-142.900000,180.000000,top
"U18","DRV8353S","DRV8353S",229.450000,-124.250000,0.000000,top
